filename,true_label,predicted_label,confidence
cloudy/1098858933.jpg,cloudy,sunny,0.5962
cloudy/1153523928.jpg,cloudy,rainy,0.9525
cloudy/11996946.jpg,cloudy,sunny,0.7853
cloudy/124483727.jpg,cloudy,sunny,0.5077
cloudy/127143291.jpg,cloudy,sunny,0.8285
cloudy/1357815838.jpg,cloudy,rainy,0.6418
cloudy/1382029404.jpg,cloudy,rainy,0.8358
cloudy/13843770.jpg,cloudy,sunny,0.9557
cloudy/144137353.jpg,cloudy,sunny,0.8728
cloudy/1472385733.jpg,cloudy,sunny,0.8157
cloudy/1593444.jpg,cloudy,sunny,0.8854
cloudy/1667643937.jpg,cloudy,sunny,0.9848
cloudy/174641762.jpg,cloudy,sunny,0.5155
cloudy/17465362.jpg,cloudy,sunny,0.777
cloudy/1801960569.jpg,cloudy,sunny,0.632
cloudy/184275561.jpg,cloudy,sunny,0.6208
cloudy/186383889.jpg,cloudy,sunny,0.6934
cloudy/198448882.jpg,cloudy,sunny,0.9695
cloudy/1996672582.jpg,cloudy,sunny,0.7255
cloudy/200273223.jpg,cloudy,sunny,0.6404
cloudy/208522118.jpg,cloudy,sunny,0.8763
cloudy/2098212017.jpg,cloudy,rainy,0.7375
cloudy/2109535600.jpg,cloudy,sunny,0.8692
cloudy/2113861438.jpg,cloudy,sunny,0.9687
cloudy/2115754858.jpg,cloudy,snowy,0.9412
cloudy/2128274944.jpg,cloudy,sunny,0.8526
cloudy/2137682442.jpg,cloudy,sunny,0.9855
cloudy/2139570135.jpg,cloudy,sunny,0.7665
cloudy/2140751481.jpg,cloudy,sunny,0.9261
cloudy/2142687989.jpg,cloudy,sunny,0.8589
cloudy/2169528502.jpg,cloudy,sunny,0.8546
cloudy/2174583245.jpg,cloudy,sunny,0.8724
cloudy/2177029607.jpg,cloudy,snowy,0.3537
cloudy/2180503474.jpg,cloudy,sunny,0.9584
cloudy/2184154115.jpg,cloudy,sunny,0.5677
cloudy/2184158725.jpg,cloudy,sunny,0.9829
cloudy/2188551817.jpg,cloudy,sunny,0.9295
cloudy/2189382842.jpg,cloudy,sunny,0.4753
cloudy/2193912408.jpg,cloudy,sunny,0.905
cloudy/2202724806.jpg,cloudy,sunny,0.9653
cloudy/2204249599.jpg,cloudy,rainy,0.5619
cloudy/2204654078.jpg,cloudy,sunny,0.915
cloudy/2205858117.jpg,cloudy,sunny,0.8928
cloudy/2206618752.jpg,cloudy,sunny,0.8218
cloudy/221175646.jpg,cloudy,sunny,0.694
cloudy/2215852573.jpg,cloudy,sunny,0.7681
cloudy/2217889888.jpg,cloudy,sunny,0.9594
